llava;cogvlm;deepseek
trueskill.Rating(mu=22.149, sigma=2.661);trueskill.Rating(mu=23.384, sigma=2.744);trueskill.Rating(mu=27.713, sigma=2.702)
trueskill.Rating(mu=22.149, sigma=2.661);trueskill.Rating(mu=24.781, sigma=2.580);trueskill.Rating(mu=26.357, sigma=2.546)
trueskill.Rating(mu=23.475, sigma=2.509);trueskill.Rating(mu=24.781, sigma=2.580);trueskill.Rating(mu=25.144, sigma=2.413)
trueskill.Rating(mu=22.794, sigma=2.406);trueskill.Rating(mu=25.502, sigma=2.468);trueskill.Rating(mu=25.144, sigma=2.413)
trueskill.Rating(mu=22.238, sigma=2.318);trueskill.Rating(mu=25.502, sigma=2.468);trueskill.Rating(mu=25.704, sigma=2.325)
trueskill.Rating(mu=22.238, sigma=2.318);trueskill.Rating(mu=24.741, sigma=2.360);trueskill.Rating(mu=26.379, sigma=2.235)
trueskill.Rating(mu=21.729, sigma=2.239);trueskill.Rating(mu=25.268, sigma=2.277);trueskill.Rating(mu=26.379, sigma=2.235)
trueskill.Rating(mu=21.315, sigma=2.173);trueskill.Rating(mu=25.696, sigma=2.207);trueskill.Rating(mu=26.379, sigma=2.235)
trueskill.Rating(mu=21.315, sigma=2.173);trueskill.Rating(mu=25.110, sigma=2.130);trueskill.Rating(mu=26.981, sigma=2.155)
trueskill.Rating(mu=21.035, sigma=2.122);trueskill.Rating(mu=25.110, sigma=2.130);trueskill.Rating(mu=27.257, sigma=2.106)
trueskill.Rating(mu=21.929, sigma=2.038);trueskill.Rating(mu=24.209, sigma=2.045);trueskill.Rating(mu=27.257, sigma=2.106)
trueskill.Rating(mu=21.668, sigma=1.994);trueskill.Rating(mu=24.209, sigma=2.045);trueskill.Rating(mu=27.535, sigma=2.057)
trueskill.Rating(mu=21.668, sigma=1.994);trueskill.Rating(mu=23.848, sigma=1.992);trueskill.Rating(mu=27.900, sigma=2.003)
trueskill.Rating(mu=21.668, sigma=1.994);trueskill.Rating(mu=24.649, sigma=1.922);trueskill.Rating(mu=27.091, sigma=1.931)
trueskill.Rating(mu=21.421, sigma=1.953);trueskill.Rating(mu=24.649, sigma=1.922);trueskill.Rating(mu=27.322, sigma=1.894)
trueskill.Rating(mu=21.085, sigma=1.906);trueskill.Rating(mu=24.974, sigma=1.877);trueskill.Rating(mu=27.322, sigma=1.894)
trueskill.Rating(mu=21.085, sigma=1.906);trueskill.Rating(mu=24.621, sigma=1.832);trueskill.Rating(mu=27.682, sigma=1.848)
trueskill.Rating(mu=22.005, sigma=1.839);trueskill.Rating(mu=24.621, sigma=1.832);trueskill.Rating(mu=26.816, sigma=1.787)
trueskill.Rating(mu=22.614, sigma=1.785);trueskill.Rating(mu=24.017, sigma=1.779);trueskill.Rating(mu=26.816, sigma=1.787)
trueskill.Rating(mu=22.614, sigma=1.785);trueskill.Rating(mu=24.600, sigma=1.729);trueskill.Rating(mu=26.227, sigma=1.737)
trueskill.Rating(mu=22.347, sigma=1.749);trueskill.Rating(mu=24.600, sigma=1.729);trueskill.Rating(mu=26.480, sigma=1.705)
trueskill.Rating(mu=22.884, sigma=1.703);trueskill.Rating(mu=24.075, sigma=1.684);trueskill.Rating(mu=26.480, sigma=1.705)
trueskill.Rating(mu=22.884, sigma=1.703);trueskill.Rating(mu=23.790, sigma=1.652);trueskill.Rating(mu=26.773, sigma=1.671)
trueskill.Rating(mu=22.650, sigma=1.673);trueskill.Rating(mu=23.790, sigma=1.652);trueskill.Rating(mu=26.998, sigma=1.643)
trueskill.Rating(mu=23.090, sigma=1.634);trueskill.Rating(mu=23.360, sigma=1.614);trueskill.Rating(mu=26.998, sigma=1.643)
trueskill.Rating(mu=23.090, sigma=1.634);trueskill.Rating(mu=23.141, sigma=1.589);trueskill.Rating(mu=27.225, sigma=1.616)
trueskill.Rating(mu=22.882, sigma=1.608);trueskill.Rating(mu=23.141, sigma=1.589);trueskill.Rating(mu=27.428, sigma=1.591)
trueskill.Rating(mu=22.534, sigma=1.576);trueskill.Rating(mu=23.481, sigma=1.557);trueskill.Rating(mu=27.428, sigma=1.591)
trueskill.Rating(mu=22.534, sigma=1.576);trueskill.Rating(mu=23.286, sigma=1.535);trueskill.Rating(mu=27.631, sigma=1.567)
trueskill.Rating(mu=22.912, sigma=1.544);trueskill.Rating(mu=22.927, sigma=1.506);trueskill.Rating(mu=27.631, sigma=1.567)
trueskill.Rating(mu=22.744, sigma=1.523);trueskill.Rating(mu=22.927, sigma=1.506);trueskill.Rating(mu=27.805, sigma=1.546)
trueskill.Rating(mu=23.076, sigma=1.495);trueskill.Rating(mu=22.603, sigma=1.478);trueskill.Rating(mu=27.805, sigma=1.546)
trueskill.Rating(mu=23.585, sigma=1.464);trueskill.Rating(mu=22.603, sigma=1.478);trueskill.Rating(mu=27.261, sigma=1.510)
trueskill.Rating(mu=23.585, sigma=1.464);trueskill.Rating(mu=23.099, sigma=1.448);trueskill.Rating(mu=26.744, sigma=1.478)
trueskill.Rating(mu=24.009, sigma=1.435);trueskill.Rating(mu=23.099, sigma=1.448);trueskill.Rating(mu=26.312, sigma=1.448)
trueskill.Rating(mu=24.009, sigma=1.435);trueskill.Rating(mu=23.517, sigma=1.421);trueskill.Rating(mu=25.893, sigma=1.421)
trueskill.Rating(mu=23.701, sigma=1.412);trueskill.Rating(mu=23.819, sigma=1.398);trueskill.Rating(mu=25.893, sigma=1.421)
trueskill.Rating(mu=23.490, sigma=1.393);trueskill.Rating(mu=23.819, sigma=1.398);trueskill.Rating(mu=26.107, sigma=1.402)
trueskill.Rating(mu=23.490, sigma=1.393);trueskill.Rating(mu=23.615, sigma=1.379);trueskill.Rating(mu=26.312, sigma=1.383)
trueskill.Rating(mu=23.220, sigma=1.372);trueskill.Rating(mu=23.880, sigma=1.359);trueskill.Rating(mu=26.312, sigma=1.383)
trueskill.Rating(mu=23.220, sigma=1.372);trueskill.Rating(mu=24.223, sigma=1.338);trueskill.Rating(mu=25.956, sigma=1.360)
trueskill.Rating(mu=23.036, sigma=1.355);trueskill.Rating(mu=24.223, sigma=1.338);trueskill.Rating(mu=26.137, sigma=1.344)
trueskill.Rating(mu=22.812, sigma=1.338);trueskill.Rating(mu=24.442, sigma=1.321);trueskill.Rating(mu=26.137, sigma=1.344)
trueskill.Rating(mu=22.812, sigma=1.338);trueskill.Rating(mu=24.743, sigma=1.301);trueskill.Rating(mu=25.825, sigma=1.324)
trueskill.Rating(mu=23.166, sigma=1.316);trueskill.Rating(mu=24.743, sigma=1.301);trueskill.Rating(mu=25.478, sigma=1.303)
trueskill.Rating(mu=22.965, sigma=1.301);trueskill.Rating(mu=24.939, sigma=1.286);trueskill.Rating(mu=25.478, sigma=1.303)
trueskill.Rating(mu=22.965, sigma=1.301);trueskill.Rating(mu=24.719, sigma=1.271);trueskill.Rating(mu=25.705, sigma=1.287)
trueskill.Rating(mu=23.260, sigma=1.282);trueskill.Rating(mu=24.437, sigma=1.254);trueskill.Rating(mu=25.705, sigma=1.287)
;;
;;
;;
93.5% chance to draw between llava and cogvlm86.4% chance to draw between llava and deepseek93.1% chance to draw between cogvlm and deepseek;;
